
[2026-02-25 07:52:54.636]	[main.py - <module>():91]		SOLUSDT — price=81.5100, 24h_high=82.9900, atr=0.214721
[2026-02-25 07:52:54.636]	[logic.py - should_long_dca():181]		[DCA] drop=1.78% level=0 (was 0) -> no new level
[2026-02-25 07:52:54.636]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:53:04.642]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:53:05.624]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:05.625]	[main.py - <module>():91]		BTCUSDT — price=64910.8900, 24h_high=66310.0000, atr=110.240518
[2026-02-25 07:53:05.626]	[logic.py - should_long_dca():181]		[DCA] drop=2.11% level=1 (was 0) -> NEW LEVEL spend=$2.11
[2026-02-25 07:53:05.626]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1698% vs required 0.3000%
[2026-02-25 07:53:05.626]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:53:05.892]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:05.893]	[main.py - <module>():91]		ETHUSDT — price=1886.3200, 24h_high=1944.8600, atr=4.122524
[2026-02-25 07:53:05.894]	[logic.py - should_long_dca():181]		[DCA] drop=3.01% level=1 (was 0) -> NEW LEVEL spend=$3.01
[2026-02-25 07:53:05.894]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2185% vs required 0.3000%
[2026-02-25 07:53:05.894]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:53:06.172]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:06.172]	[main.py - <module>():91]		SOLUSDT — price=81.5300, 24h_high=82.9900, atr=0.214721
[2026-02-25 07:53:06.173]	[logic.py - should_long_dca():181]		[DCA] drop=1.76% level=0 (was 0) -> no new level
[2026-02-25 07:53:06.173]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:53:16.179]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:53:16.452]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:16.453]	[main.py - <module>():91]		BTCUSDT — price=64910.1600, 24h_high=66310.0000, atr=110.240518
[2026-02-25 07:53:16.454]	[logic.py - should_long_dca():181]		[DCA] drop=2.11% level=1 (was 0) -> NEW LEVEL spend=$2.11
[2026-02-25 07:53:16.455]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1698% vs required 0.3000%
[2026-02-25 07:53:16.455]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:53:16.737]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:16.738]	[main.py - <module>():91]		ETHUSDT — price=1886.8400, 24h_high=1944.8600, atr=4.122524
[2026-02-25 07:53:16.738]	[logic.py - should_long_dca():181]		[DCA] drop=2.98% level=1 (was 0) -> NEW LEVEL spend=$2.98
[2026-02-25 07:53:16.739]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2185% vs required 0.3000%
[2026-02-25 07:53:16.739]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:53:17.006]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:17.006]	[main.py - <module>():91]		SOLUSDT — price=81.5400, 24h_high=82.9900, atr=0.214721
[2026-02-25 07:53:17.007]	[logic.py - should_long_dca():181]		[DCA] drop=1.75% level=0 (was 0) -> no new level
[2026-02-25 07:53:17.007]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:53:27.012]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:53:27.274]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:27.275]	[main.py - <module>():91]		BTCUSDT — price=64916.4300, 24h_high=66310.0000, atr=110.240518
[2026-02-25 07:53:27.276]	[logic.py - should_long_dca():181]		[DCA] drop=2.10% level=1 (was 0) -> NEW LEVEL spend=$2.10
[2026-02-25 07:53:27.276]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1698% vs required 0.3000%
[2026-02-25 07:53:27.276]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:53:27.653]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:27.654]	[main.py - <module>():91]		ETHUSDT — price=1886.4100, 24h_high=1944.8600, atr=4.122524
[2026-02-25 07:53:27.655]	[logic.py - should_long_dca():181]		[DCA] drop=3.01% level=1 (was 0) -> NEW LEVEL spend=$3.01
[2026-02-25 07:53:27.655]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2185% vs required 0.3000%
[2026-02-25 07:53:27.655]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:53:27.905]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:27.906]	[main.py - <module>():91]		SOLUSDT — price=81.5300, 24h_high=82.9900, atr=0.214721
[2026-02-25 07:53:27.906]	[logic.py - should_long_dca():181]		[DCA] drop=1.76% level=0 (was 0) -> no new level
[2026-02-25 07:53:27.906]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:53:37.912]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:53:38.183]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:38.184]	[main.py - <module>():91]		BTCUSDT — price=64907.0700, 24h_high=66310.0000, atr=110.240518
[2026-02-25 07:53:38.185]	[logic.py - should_long_dca():181]		[DCA] drop=2.12% level=1 (was 0) -> NEW LEVEL spend=$2.12
[2026-02-25 07:53:38.185]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1698% vs required 0.3000%
[2026-02-25 07:53:38.185]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:53:38.450]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:38.451]	[main.py - <module>():91]		ETHUSDT — price=1886.3100, 24h_high=1944.8600, atr=4.122524
[2026-02-25 07:53:38.451]	[logic.py - should_long_dca():181]		[DCA] drop=3.01% level=1 (was 0) -> NEW LEVEL spend=$3.01
[2026-02-25 07:53:38.451]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2185% vs required 0.3000%
[2026-02-25 07:53:38.451]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:53:38.700]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:38.701]	[main.py - <module>():91]		SOLUSDT — price=81.5400, 24h_high=82.9900, atr=0.214721
[2026-02-25 07:53:38.701]	[logic.py - should_long_dca():181]		[DCA] drop=1.75% level=0 (was 0) -> no new level
[2026-02-25 07:53:38.701]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:53:48.707]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:53:48.979]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:48.980]	[main.py - <module>():91]		BTCUSDT — price=64907.0800, 24h_high=66310.0000, atr=110.240518
[2026-02-25 07:53:48.981]	[logic.py - should_long_dca():181]		[DCA] drop=2.12% level=1 (was 0) -> NEW LEVEL spend=$2.12
[2026-02-25 07:53:48.981]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1698% vs required 0.3000%
[2026-02-25 07:53:48.981]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:53:49.464]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:49.465]	[main.py - <module>():91]		ETHUSDT — price=1885.7100, 24h_high=1944.8600, atr=4.122524
[2026-02-25 07:53:49.465]	[logic.py - should_long_dca():181]		[DCA] drop=3.04% level=1 (was 0) -> NEW LEVEL spend=$3.04
[2026-02-25 07:53:49.466]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2186% vs required 0.3000%
[2026-02-25 07:53:49.466]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:53:49.734]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:53:49.734]	[main.py - <module>():91]		SOLUSDT — price=81.5200, 24h_high=82.9900, atr=0.214721
[2026-02-25 07:53:49.735]	[logic.py - should_long_dca():181]		[DCA] drop=1.77% level=0 (was 0) -> no new level
[2026-02-25 07:53:49.735]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:53:59.741]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:54:00.011]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:54:00.012]	[main.py - <module>():91]		BTCUSDT — price=64901.4900, 24h_high=66310.0000, atr=110.506947
[2026-02-25 07:54:00.013]	[logic.py - should_long_dca():181]		[DCA] drop=2.12% level=1 (was 0) -> NEW LEVEL spend=$2.12
[2026-02-25 07:54:00.013]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1703% vs required 0.3000%
[2026-02-25 07:54:00.013]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:54:00.362]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:54:00.364]	[main.py - <module>():91]		ETHUSDT — price=1885.9100, 24h_high=1944.8600, atr=4.122524
[2026-02-25 07:54:00.364]	[logic.py - should_long_dca():181]		[DCA] drop=3.03% level=1 (was 0) -> NEW LEVEL spend=$3.03
[2026-02-25 07:54:00.365]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2186% vs required 0.3000%
[2026-02-25 07:54:00.365]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:54:00.838]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:54:00.838]	[main.py - <module>():91]		SOLUSDT — price=81.5300, 24h_high=82.9900, atr=0.214721
[2026-02-25 07:54:00.839]	[logic.py - should_long_dca():181]		[DCA] drop=1.76% level=0 (was 0) -> no new level
[2026-02-25 07:54:00.839]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:54:10.845]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:54:11.142]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:54:11.143]	[main.py - <module>():91]		BTCUSDT — price=64903.1300, 24h_high=66310.0000, atr=110.506947
[2026-02-25 07:54:11.143]	[logic.py - should_long_dca():181]		[DCA] drop=2.12% level=1 (was 0) -> NEW LEVEL spend=$2.12
[2026-02-25 07:54:11.143]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1703% vs required 0.3000%
[2026-02-25 07:54:11.143]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:54:11.394]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:54:11.394]	[main.py - <module>():91]		ETHUSDT — price=1885.9900, 24h_high=1944.8600, atr=4.122524
[2026-02-25 07:54:11.394]	[logic.py - should_long_dca():181]		[DCA] drop=3.03% level=1 (was 0) -> NEW LEVEL spend=$3.03
[2026-02-25 07:54:11.394]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2186% vs required 0.3000%
[2026-02-25 07:54:11.394]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:54:11.657]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:54:11.658]	[main.py - <module>():91]		SOLUSDT — price=81.5300, 24h_high=82.9900, atr=0.214721
[2026-02-25 07:54:11.658]	[logic.py - should_long_dca():181]		[DCA] drop=1.76% level=0 (was 0) -> no new level
[2026-02-25 07:54:11.658]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:54:21.664]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:54:21.945]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:54:21.946]	[main.py - <module>():91]		BTCUSDT — price=64903.1300, 24h_high=66310.0000, atr=110.506947
[2026-02-25 07:54:21.947]	[logic.py - should_long_dca():181]		[DCA] drop=2.12% level=1 (was 0) -> NEW LEVEL spend=$2.12
[2026-02-25 07:54:21.947]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1703% vs required 0.3000%
[2026-02-25 07:54:21.947]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:54:22.206]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:54:22.207]	[main.py - <module>():91]		ETHUSDT — price=1885.8000, 24h_high=1944.8600, atr=4.122524
[2026-02-25 07:54:22.207]	[logic.py - should_long_dca():181]		[DCA] drop=3.04% level=1 (was 0) -> NEW LEVEL spend=$3.04
[2026-02-25 07:54:22.208]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2186% vs required 0.3000%
